Genus,Species,Sample code,Location,Population,Species,Population,Plant,Leaf,Sample,Phytolith,ArBBox,Area,ArEqD,AspRatio,Breadth,CArea,CHull,Circularity,Compactness,Concavity,Convexity,Curve_Length,Curve_Width,EqEllAr,Feret,MaxR,MBCRadius,MinR,ModRatio,PerEqD,Perimeter,Rectangularity,RFactor,Roundness,Shape,Solidity,Sphericity
Panicum,miliace,10_6,Bcn-1,PI 578074,1,1,1,2,4,9,3184,1780.5,47.613,1.307,49.37,2131.5,175.603,0.553,0.738,351,0.873,25.9,11,2500.708,64.498,32.411,32.25,8.795,0.273,566.751,201.095,0.559,0.867,0.545,22.712,0.835,0.271
Panicum,miliace,10_6,Bcn-1,PI 578074,1,1,1,2,4,10,1599,939,34.577,1.627,31.35,1076,127.508,0.615,0.678,137,0.92,19,7.4,1255.852,51,25.756,25.5,7.09,0.278,298.893,138.569,0.587,0.796,0.46,20.449,0.873,0.275
Panicum,miliace,10_6,Bcn-1,PI 578074,1,1,1,2,4,11,3294,1768.5,47.452,1.507,46.75,2172.5,180.389,0.524,0.674,404,0.876,27.7,9.7,2587.102,70.456,35.617,35.228,7.564,0.215,562.931,205.924,0.537,0.815,0.454,23.978,0.814,0.212
Panicum,miliace,10_6,Bcn-1,PI 578074,1,1,1,2,4,12,3445,1957,49.917,1.668,45.45,2410.5,192.019,0.472,0.659,453.5,0.841,29.9,9.9,2705.697,75.802,38.173,37.901,6.737,0.178,622.932,228.309,0.568,0.806,0.434,26.635,0.812,0.176
Panicum,miliace,10_6,Bcn-1,PI 578074,1,1,1,2,4,13,3115,1667.5,46.077,1.251,49.89,2039.5,170.498,0.524,0.738,372,0.853,25.8,10.3,2446.515,62.434,32.74,31.217,6.717,0.215,530.782,199.924,0.535,0.869,0.545,23.97,0.818,0.205
Panicum,miliace,10_6,Bcn-1,PI 578074,1,1,1,2,4,14,2934,1550,44.424,1.104,51.55,1850.5,161.411,0.563,0.78,300.5,0.868,24,10.4,2304.358,56.921,28.978,28.46,9.136,0.321,493.38,186.024,0.528,0.903,0.609,22.326,0.838,0.315
Panicum,miliace,10_6,Bcn-1,PI 578074,1,1,1,2,4,15,3136,1725.5,46.872,1.258,49.94,2120.5,173.418,0.521,0.746,395,0.85,25.9,10.6,2463.009,62.801,31.665,31.419,6.331,0.202,549.244,203.924,0.55,0.879,0.557,24.1,0.814,0.2
Panicum,miliace,10_6,Bcn-1,PI 578074,1,1,1,2,4,16,3200,1738,47.041,1.385,48.07,2108,176.126,0.543,0.707,370,0.878,26.6,9.9,2513.274,66.573,34.036,33.287,8.047,0.242,553.223,200.51,0.543,0.842,0.499,23.132,0.824,0.236
Panicum,miliace,10_6,Bcn-1,PI 578074,1,1,1,2,4,17,3460,1677.5,46.215,1.575,46.87,2090,186.9,0.481,0.626,412.5,0.892,28.9,9.8,2717.478,73.824,37.205,36.912,6.844,0.185,533.965,209.439,0.485,0.806,0.392,26.149,0.803,0.184
Panicum,miliace,10_6,Bcn-1,PI 578074,1,1,1,2,4,18,4090,2155.5,52.388,1.499,52.24,2693.5,200.157,0.501,0.669,538,0.861,31.7,11.2,3212.279,78.294,39.798,39.147,8.065,0.206,686.117,232.551,0.527,0.814,0.448,25.089,0.8,0.203
