@relation skull-measurements

@ATTRIBUTE Sex   {M,F}
@ATTRIBUTE Population  STRING
@ATTRIBUTE GOL   NUMERIC
@ATTRIBUTE BBH   NUMERIC
@ATTRIBUTE ZYB   NUMERIC
@ATTRIBUTE AUB   NUMERIC
@ATTRIBUTE NLH   NUMERIC
@ATTRIBUTE OBH   NUMERIC
@ATTRIBUTE OBB   NUMERIC
@ATTRIBUTE NLB   NUMERIC
@ATTRIBUTE MDH   NUMERIC
@ATTRIBUTE OCC   NUMERIC
  
@DATA
M,EGYPT,188,139,127,121,53,32,38,22,35,100
M,EGYPT,181,139,133,121,52,32,39,23,30,105
M,EGYPT,201,141,131,122,54,33,42,27,37,98
M,EGYPT,186,139,126,116,50,30,37,26,31,100
M,EGYPT,196,142,134,125,52,29,38,25,33,105
M,EGYPT,184,137,125,118,51,33,38,25,33,96
M,EGYPT,182,136,122,112,49,32,38,25,32,101
M,EGYPT,179,129,135,123,54,34,41,25,28,91
M,EGYPT,191,133,125,107,52,32,38,28,30,113
M,EGYPT,184,131,131,120,50,33,39,24,33,92
M,EGYPT,187,136,133,118,52,32,39,25,32,97
M,EGYPT,197,145,135,124,51,33,42,29,29,101
M,EGYPT,188,132,130,115,49,30,43,25,33,102
M,EGYPT,189,131,130,120,56,39,42,24,33,101
M,EGYPT,190,134,124,116,50,34,41,25,27,92
M,EGYPT,176,130,129,120,49,35,39,22,30,96
M,EGYPT,193,135,124,116,50,33,39,24,22,97
M,EGYPT,185,134,133,120,52,32,42,24,33,96
M,EGYPT,179,129,131,118,55,35,41,25,31,92
M,EGYPT,184,144,132,115,56,33,41,25,34,104
M,EGYPT,174,125,129,116,54,30,35,25,32,93
M,EGYPT,180,130,123,111,52,35,39,22,32,92
M,EGYPT,186,134,127,119,54,33,37,24,27,100
M,EGYPT,188,129,130,114,51,35,40,23,33,97
M,EGYPT,188,131,127,118,56,31,38,27,28,99
M,EGYPT,183,132,127,118,55,35,41,25,38,99
M,EGYPT,181,129,122,116,50,34,40,23,29,91
M,EGYPT,191,135,130,120,52,35,41,26,30,97
M,EGYPT,180,127,129,120,50,32,38,28,31,92
M,EGYPT,188,129,128,118,55,32,37,24,34,100
M,EGYPT,192,132,134,125,48,29,41,26,30,99
M,EGYPT,173,127,124,115,51,30,41,26,32,99
M,EGYPT,185,129,123,112,50,33,40,29,28,86
M,EGYPT,185,133,135,124,51,34,37,24,31,98
M,EGYPT,191,138,132,121,53,33,40,25,21,96
M,EGYPT,180,132,125,117,48,30,38,24,31,91
M,EGYPT,196,133,135,124,50,35,44,24,29,96
M,EGYPT,187,137,134,119,54,35,40,22,29,104
M,EGYPT,182,133,128,116,52,34,38,24,26,95
M,EGYPT,192,133,134,122,52,32,41,27,32,95
M,EGYPT,181,134,125,119,52,33,39,22,27,102
M,EGYPT,182,132,131,124,50,35,41,25,28,103
M,EGYPT,187,142,134,124,52,36,39,25,28,94
M,EGYPT,188,140,128,119,56,36,41,27,27,101
M,EGYPT,188,133,126,118,51,32,39,26,30,97
M,EGYPT,188,131,130,123,50,31,39,25,34,96
M,EGYPT,187,131,123,113,57,34,41,28,31,94
M,EGYPT,180,121,121,114,52,32,38,25,31,95
M,EGYPT,181,125,121,112,44,30,38,25,26,92
F,EGYPT,170,119,114,109,47,30,37,23,25,91
F,EGYPT,181,125,122,113,53,36,40,23,28,96
