@relation chemical_pottery

@ATTRIBUTE group  {1,2,3,4,5,6,7}
@ATTRIBUTE Formula   STRING
@ATTRIBUTE Na2O   NUMERIC
@ATTRIBUTE MgO   NUMERIC
@ATTRIBUTE Al2O3   NUMERIC
@ATTRIBUTE SiO2   NUMERIC
@ATTRIBUTE Cl   NUMERIC
@ATTRIBUTE K2O   NUMERIC
@ATTRIBUTE TiO2   NUMERIC
@ATTRIBUTE Cr2O3   NUMERIC
@ATTRIBUTE MnO   NUMERIC
@ATTRIBUTE Fe2O3   NUMERIC
@ATTRIBUTE NiO   NUMERIC
@ATTRIBUTE CuO   NUMERIC
@ATTRIBUTE ZnO   NUMERIC
@ATTRIBUTE Rb2O   NUMERIC
@ATTRIBUTE SrO   NUMERIC
@ATTRIBUTE Y2O3   NUMERIC
@ATTRIBUTE ZrO2   NUMERIC
@ATTRIBUTE Nb2O5   NUMERIC
@ATTRIBUTE BaO   NUMERIC

@DATA
"7","HSC_F",0.571,1.81,12.6,63.5,0.111,4.25,1.51,0.0682,0.0577,8.95,0.0141,0.0196,0.0288,0.0304,0.022,0.0031,0.115,0.0031,0.0262
"7","HSC_H",0.661,1.64,11.6,66.1,0.0819,3.86,1.63,0.0454,0.0528,9.37,0.0086,0.0111,0.019,0.0302,0.0242,0.0051,0.137,0.004,0
"7","HSC_I",0.565,1.78,11.3,62.5,0.21,4.64,1.47,0.0427,0.0484,8.2,0.0062,0.0067,0.0137,0.0415,0.026,0.0066,0.121,0.0052,0
"7","HSC_J",0.691,1.77,12,64.7,0.107,3.9,1.48,0.0403,0.0516,8.77,0.008,0.0089,0.0177,0.0304,0.0232,0.0023,0.13,0.0045,0.0058
"7","HSC_K",0.472,1.85,9.7,54.4,0.109,4.07,1.25,0.0206,0.0447,8.07,0,0,0.0145,0.0363,0.0285,0.0049,0.0907,0.0045,0.0293
"7","HSC_M",0.475,1.98,11.6,58.5,0.133,4.42,1.4,0.0655,0.0575,8.76,0.0147,0.0197,0.0273,0.0354,0.0252,0.0035,0.0942,0.0025,0.0195
"7","HSC_N",0.867,2.22,10.6,57.2,0.74,4.33,1.39,0.036,0.0532,8.53,0.0064,0.0327,0.0194,0.0395,0.0348,0.0013,0.103,0.0051,0.0167
"7","HSC_O",0.487,1.97,10.6,59.7,0.221,4.37,1.35,0.0416,0.0474,8.85,0.004,0.0087,0.0165,0.0368,0.0285,0.0068,0.103,0.0038,0.0133
"7","HSC_P",0.823,2.48,11.2,59.5,0.506,4.49,1.45,0.0344,0.0524,8.55,0.0069,0.0102,0.0178,0.0397,0.0338,0.0016,0.105,0.0054,0
"7","HSC_Q",0.904,2.24,10.9,56.6,0.636,4.25,1.47,0.0618,0.0558,8.5,0.0143,0.0202,0.0302,0.0355,0.0385,0.0019,0.102,0.0041,0.0113
"7","HSC_R",0.628,1.99,11.6,64.5,0.0911,4.26,1.55,0.0409,0.0534,9.56,0.0079,0.0126,0.0203,0.034,0.0276,0.0054,0.115,0.0053,0.0001
"7","HSC_S",0.742,2.27,11.4,58.6,0.52,4.45,1.43,0.0537,0.0562,8.54,0.0153,0.0306,0.0294,0.0357,0.0306,0.0012,0.0979,0.0037,0.0263
"7","HSC_T",0.627,1.93,9.61,55,0.325,4.01,1.35,0.0273,0.0483,8.05,0.0031,0.0082,0.0147,0.034,0.0323,0.0031,0.0943,0.0013,0.011
"7","HSC_U",0.701,2.06,11.5,61.4,0.356,4.62,1.4,0.0291,0.0477,8.53,0.0062,0.0097,0.0169,0.0384,0.0303,0.0026,0.116,0.0047,0.0143
"7","HSC_V",0.819,2.32,10.5,57.9,0.927,4.66,1.36,0.0297,0.0469,8.55,0.0056,0.0223,0.0192,0.037,0.0365,0.0023,0.0991,0.0053,0.0154
"7","HSC_X",0.672,1.75,11.5,64,0.262,3.97,1.6,0.0293,0.0433,9.15,0.0058,0.0079,0.0168,0.0316,0.0291,0.0055,0.103,0.0049,0.0091
"7","HSC_Y",0.664,1.75,11.6,64.3,0.229,3.89,1.52,0.0337,0.0485,9.21,0.0079,0.0148,0.02,0.031,0.0268,0.0023,0.127,0.0048,0
"7","HSC_ZA",1.44,2.68,10.8,57.3,0.736,4.69,1.33,0.0243,0.0398,8.42,0,0,0.0196,0.0356,0.0277,0,0.0987,0,0.0563
"7","HSC_ZB",0.715,2.5,10.7,59.3,0.807,4.46,1.4,0.0284,0.0481,8.75,0,0,0,0.0358,0.0432,0.0052,0.115,0.0061,0.0021
"7","HSC_ZC",0.657,1.7,12.3,63.9,0.124,3.86,1.62,0.0603,0.0562,9.28,0.0132,0.0156,0.0225,0.0301,0.0234,0.0025,0.14,0.005,0
"7","HSC_ZD",0.703,2.28,11.2,60,0.935,4.56,1.43,0.0305,0.0524,8.98,0.005,0.0073,0.0165,0.0355,0.0443,0.0057,0.114,0.005,0.005
"7","HSC_ZE",0.753,1.71,12.1,65.2,0.371,3.99,1.36,0.043,0.0508,8.52,0.0138,0.0127,0.0242,0.0274,0.0264,0.0033,0.117,0.004,0.0006
"7","HSC_ZF",0.665,1.73,11.9,64.3,0.364,3.89,1.52,0.0355,0.0482,9.39,0.0085,0.0091,0.0177,0.0304,0.0277,0.0056,0.134,0.0051,0
"7","HSC_ZG",0.713,1.65,11,65.8,0.118,3.89,1.43,0.0291,0.0553,8.31,0.0084,0.0093,0.0161,0.0301,0.0258,0.0038,0.131,0.0054,0
"7","CC_A",0.478,2.13,12.6,60,0.358,4.47,1.44,0.0645,0.063,8.93,0.0145,0.0198,0.0301,0.0313,0.0244,0.0007,0.0893,0.0002,0.0501
"7","CC_B",0.525,2.14,11.5,60.3,0.391,4.75,1.53,0.0456,0.0585,9.92,0.0099,0.0132,0.0238,0.0368,0.0241,0.0028,0.0912,0.0022,0.0161
"7","CC_C",0.585,1.81,12.4,64.8,0.117,4.1,1.59,0.0421,0.0612,9.87,0.0052,0.0054,0.0155,0.0317,0.025,0.0062,0.125,0.0055,0
"7","CC_D",0.505,1.68,12.8,61.4,0.0795,4.15,1.6,0.0736,0.0709,10,0.0164,0.021,0.0323,0.0314,0.0236,0.0028,0.108,0.002,0.0265
"7","CC_E",0.621,2,12.7,57.7,0.0795,4.46,1.45,0.0644,0.0623,8.92,0.0166,0.0209,0.0335,0.0383,0.0263,0,0.0931,0.003,0.049
